"Dzien symulacji: ","1","Liczba roslin: ","99","Liczba zwierzat: ","107","Liczba wolnych pol : ","710","Najpopularniejszy genotyp: ","[3, 1, 1, 0, 3, 5, 1, 1]","Sredni poziom energii zyjacych: ","17,69","Srednia dlugosc zycia martwych: ","0,00"
"Dzien symulacji: ","208","Liczba roslin: ","357","Liczba zwierzat: ","79","Liczba wolnych pol : ","469","Najpopularniejszy genotyp: ","[5, 6, 5, 0, 2, 6, 7, 4]","Sredni poziom energii zyjacych: ","48,25","Srednia dlugosc zycia martwych: ","24,38"
"Dzien symulacji: ","209","Liczba roslin: ","361","Liczba zwierzat: ","76","Liczba wolnych pol : ","473","Najpopularniejszy genotyp: ","[5, 6, 5, 0, 2, 6, 7, 4]","Sredni poziom energii zyjacych: ","49,55","Srednia dlugosc zycia martwych: ","24,42"
"Dzien symulacji: ","210","Liczba roslin: ","362","Liczba zwierzat: ","77","Liczba wolnych pol : ","469","Najpopularniejszy genotyp: ","[5, 6, 5, 0, 2, 6, 7, 4]","Sredni poziom energii zyjacych: ","48,69","Srednia dlugosc zycia martwych: ","24,45"
"Dzien symulacji: ","211","Liczba roslin: ","358","Liczba zwierzat: ","77","Liczba wolnych pol : ","472","Najpopularniejszy genotyp: ","[5, 6, 5, 0, 2, 6, 7, 4]","Sredni poziom energii zyjacych: ","49,12","Srednia dlugosc zycia martwych: ","24,48"
"Dzien symulacji: ","212","Liczba roslin: ","351","Liczba zwierzat: ","75","Liczba wolnych pol : ","474","Najpopularniejszy genotyp: ","[5, 6, 5, 0, 2, 6, 7, 4]","Sredni poziom energii zyjacych: ","51,29","Srednia dlugosc zycia martwych: ","24,98"
"Dzien symulacji: ","213","Liczba roslin: ","349","Liczba zwierzat: ","76","Liczba wolnych pol : ","480","Najpopularniejszy genotyp: ","[5, 6, 5, 0, 2, 6, 7, 4]","Sredni poziom energii zyjacych: ","50,80","Srednia dlugosc zycia martwych: ","24,96"
"Dzien symulacji: ","214","Liczba roslin: ","350","Liczba zwierzat: ","76","Liczba wolnych pol : ","483","Najpopularniejszy genotyp: ","[5, 6, 5, 0, 2, 6, 7, 4]","Sredni poziom energii zyjacych: ","50,59","Srednia dlugosc zycia martwych: ","24,98"
"Dzien symulacji: ","215","Liczba roslin: ","349","Liczba zwierzat: ","75","Liczba wolnych pol : ","482","Najpopularniejszy genotyp: ","[5, 6, 5, 0, 2, 6, 7, 4]","Sredni poziom energii zyjacych: ","51,20","Srednia dlugosc zycia martwych: ","24,90"
"Dzien symulacji: ","216","Liczba roslin: ","347","Liczba zwierzat: ","75","Liczba wolnych pol : ","485","Najpopularniejszy genotyp: ","[5, 6, 5, 0, 2, 6, 7, 4]","Sredni poziom energii zyjacych: ","51,27","Srednia dlugosc zycia martwych: ","25,28"
"Dzien symulacji: ","217","Liczba roslin: ","347","Liczba zwierzat: ","76","Liczba wolnych pol : ","489","Najpopularniejszy genotyp: ","[5, 6, 5, 0, 2, 6, 7, 4]","Sredni poziom energii zyjacych: ","50,51","Srednia dlugosc zycia martwych: ","25,20"
"Dzien symulacji: ","218","Liczba roslin: ","349","Liczba zwierzat: ","77","Liczba wolnych pol : ","481","Najpopularniejszy genotyp: ","[5, 6, 5, 0, 2, 6, 7, 4]","Sredni poziom energii zyjacych: ","49,51","Srednia dlugosc zycia martwych: ","25,20"
"Dzien symulacji: ","219","Liczba roslin: ","346","Liczba zwierzat: ","73","Liczba wolnych pol : ","485","Najpopularniejszy genotyp: ","[5, 6, 5, 0, 2, 6, 7, 4]","Sredni poziom energii zyjacych: ","52,59","Srednia dlugosc zycia martwych: ","25,46"
"Dzien symulacji: ","220","Liczba roslin: ","346","Liczba zwierzat: ","71","Liczba wolnych pol : ","484","Najpopularniejszy genotyp: ","[5, 6, 5, 0, 2, 6, 7, 4]","Sredni poziom energii zyjacych: ","54,06","Srednia dlugosc zycia martwych: ","25,30"
"Dzien symulacji: ","221","Liczba roslin: ","345","Liczba zwierzat: ","73","Liczba wolnych pol : ","490","Najpopularniejszy genotyp: ","[5, 6, 5, 0, 2, 6, 7, 4]","Sredni poziom energii zyjacych: ","52,67","Srednia dlugosc zycia martwych: ","25,30"
"Dzien symulacji: ","222","Liczba roslin: ","346","Liczba zwierzat: ","72","Liczba wolnych pol : ","488","Najpopularniejszy genotyp: ","[5, 6, 5, 0, 2, 6, 7, 4]","Sredni poziom energii zyjacych: ","53,24","Srednia dlugosc zycia martwych: ","25,39"
"Dzien symulacji: ","223","Liczba roslin: ","348","Liczba zwierzat: ","71","Liczba wolnych pol : ","485","Najpopularniejszy genotyp: ","[5, 6, 5, 0, 2, 6, 7, 4]","Sredni poziom energii zyjacych: ","53,69","Srednia dlugosc zycia martwych: ","25,29"
"Dzien symulacji: ","224","Liczba roslin: ","339","Liczba zwierzat: ","70","Liczba wolnych pol : ","495","Najpopularniejszy genotyp: ","[5, 6, 5, 0, 2, 6, 7, 4]","Sredni poziom energii zyjacych: ","55,74","Srednia dlugosc zycia martwych: ","25,44"
"Dzien symulacji: ","225","Liczba roslin: ","334","Liczba zwierzat: ","72","Liczba wolnych pol : ","499","Najpopularniejszy genotyp: ","[5, 6, 5, 0, 2, 6, 7, 4]","Sredni poziom energii zyjacych: ","54,86","Srednia dlugosc zycia martwych: ","25,44"
"Dzien symulacji: ","226","Liczba roslin: ","331","Liczba zwierzat: ","69","Liczba wolnych pol : ","503","Najpopularniejszy genotyp: ","[5, 6, 5, 0, 2, 6, 7, 4]","Sredni poziom energii zyjacych: ","57,70","Srednia dlugosc zycia martwych: ","25,46"
"Dzien symulacji: ","227","Liczba roslin: ","330","Liczba zwierzat: ","67","Liczba wolnych pol : ","509","Najpopularniejszy genotyp: ","[4, 6, 4, 2, 2, 4, 7, 1]","Sredni poziom energii zyjacych: ","59,31","Srednia dlugosc zycia martwych: ","25,33"
"Dzien symulacji: ","228","Liczba roslin: ","329","Liczba zwierzat: ","67","Liczba wolnych pol : ","507","Najpopularniejszy genotyp: ","[4, 6, 4, 2, 2, 4, 7, 1]","Sredni poziom energii zyjacych: ","59,51","Srednia dlugosc zycia martwych: ","25,25"
"Dzien symulacji: ","229","Liczba roslin: ","332","Liczba zwierzat: ","71","Liczba wolnych pol : ","510","Najpopularniejszy genotyp: ","[4, 6, 4, 2, 2, 4, 7, 1]","Sredni poziom energii zyjacych: ","55,72","Srednia dlugosc zycia martwych: ","25,28"
"Dzien symulacji: ","230","Liczba roslin: ","332","Liczba zwierzat: ","73","Liczba wolnych pol : ","502","Najpopularniejszy genotyp: ","[4, 6, 4, 2, 2, 4, 7, 1]","Sredni poziom energii zyjacych: ","54,01","Srednia dlugosc zycia martwych: ","25,28"
"Dzien symulacji: ","231","Liczba roslin: ","331","Liczba zwierzat: ","73","Liczba wolnych pol : ","500","Najpopularniejszy genotyp: ","[4, 6, 4, 2, 2, 4, 7, 1]","Sredni poziom energii zyjacych: ","53,84","Srednia dlugosc zycia martwych: ","26,26"
"Dzien symulacji: ","232","Liczba roslin: ","327","Liczba zwierzat: ","74","Liczba wolnych pol : ","506","Najpopularniejszy genotyp: ","[4, 6, 4, 2, 2, 4, 7, 1]","Sredni poziom energii zyjacych: ","53,59","Srednia dlugosc zycia martwych: ","26,26"
"Dzien symulacji: ","233","Liczba roslin: ","324","Liczba zwierzat: ","74","Liczba wolnych pol : ","506","Najpopularniejszy genotyp: ","[4, 6, 4, 2, 2, 4, 7, 1]","Sredni poziom energii zyjacych: ","53,81","Srednia dlugosc zycia martwych: ","26,26"
"Dzien symulacji: ","234","Liczba roslin: ","321","Liczba zwierzat: ","72","Liczba wolnych pol : ","509","Najpopularniejszy genotyp: ","[4, 6, 4, 2, 2, 4, 7, 1]","Sredni poziom energii zyjacych: ","55,69","Srednia dlugosc zycia martwych: ","26,87"
"Dzien symulacji: ","235","Liczba roslin: ","325","Liczba zwierzat: ","72","Liczba wolnych pol : ","510","Najpopularniejszy genotyp: ","[4, 6, 4, 2, 2, 4, 7, 1]","Sredni poziom energii zyjacych: ","54,83","Srednia dlugosc zycia martwych: ","26,79"
"Dzien symulacji: ","236","Liczba roslin: ","323","Liczba zwierzat: ","72","Liczba wolnych pol : ","512","Najpopularniejszy genotyp: ","[4, 6, 4, 2, 2, 4, 7, 1]","Sredni poziom energii zyjacych: ","55,08","Srednia dlugosc zycia martwych: ","26,80"
"Dzien symulacji: ","237","Liczba roslin: ","325","Liczba zwierzat: ","70","Liczba wolnych pol : ","510","Najpopularniejszy genotyp: ","[4, 6, 4, 2, 2, 4, 7, 1]","Sredni poziom energii zyjacych: ","56,37","Srednia dlugosc zycia martwych: ","26,88"
"Dzien symulacji: ","238","Liczba roslin: ","328","Liczba zwierzat: ","71","Liczba wolnych pol : ","509","Najpopularniejszy genotyp: ","[0, 4, 0, 1, 3, 6, 2, 5]","Sredni poziom energii zyjacych: ","55,00","Srednia dlugosc zycia martwych: ","26,89"
"Dzien symulacji: ","239","Liczba roslin: ","326","Liczba zwierzat: ","68","Liczba wolnych pol : ","513","Najpopularniejszy genotyp: ","[0, 4, 0, 1, 3, 6, 2, 5]","Sredni poziom energii zyjacych: ","57,75","Srednia dlugosc zycia martwych: ","27,32"
"Dzien symulacji: ","240","Liczba roslin: ","330","Liczba zwierzat: ","68","Liczba wolnych pol : ","505","Najpopularniejszy genotyp: ","[0, 4, 0, 1, 3, 6, 2, 5]","Sredni poziom energii zyjacych: ","57,04","Srednia dlugosc zycia martwych: ","27,42"
"Dzien symulacji: ","241","Liczba roslin: ","329","Liczba zwierzat: ","68","Liczba wolnych pol : ","510","Najpopularniejszy genotyp: ","[0, 4, 0, 1, 3, 6, 2, 5]","Sredni poziom energii zyjacych: ","57,22","Srednia dlugosc zycia martwych: ","27,40"
"Dzien symulacji: ","242","Liczba roslin: ","328","Liczba zwierzat: ","68","Liczba wolnych pol : ","509","Najpopularniejszy genotyp: ","[0, 4, 0, 1, 3, 6, 2, 5]","Sredni poziom energii zyjacych: ","57,40","Srednia dlugosc zycia martwych: ","27,32"
"Dzien symulacji: ","243","Liczba roslin: ","328","Liczba zwierzat: ","70","Liczba wolnych pol : ","512","Najpopularniejszy genotyp: ","[0, 4, 0, 1, 3, 6, 2, 5]","Sredni poziom energii zyjacych: ","55,61","Srednia dlugosc zycia martwych: ","27,46"
"Dzien symulacji: ","244","Liczba roslin: ","326","Liczba zwierzat: ","71","Liczba wolnych pol : ","510","Najpopularniejszy genotyp: ","[0, 4, 0, 1, 3, 6, 2, 5]","Sredni poziom energii zyjacych: ","55,10","Srednia dlugosc zycia martwych: ","28,06"
"Dzien symulacji: ","245","Liczba roslin: ","328","Liczba zwierzat: ","71","Liczba wolnych pol : ","508","Najpopularniejszy genotyp: ","[0, 4, 0, 1, 3, 6, 2, 5]","Sredni poziom energii zyjacych: ","54,80","Srednia dlugosc zycia martwych: ","28,03"
"Dzien symulacji: ","246","Liczba roslin: ","329","Liczba zwierzat: ","68","Liczba wolnych pol : ","508","Najpopularniejszy genotyp: ","[0, 4, 0, 1, 3, 6, 2, 5]","Sredni poziom energii zyjacych: ","57,10","Srednia dlugosc zycia martwych: ","28,05"
"Dzien symulacji: ","247","Liczba roslin: ","331","Liczba zwierzat: ","67","Liczba wolnych pol : ","508","Najpopularniejszy genotyp: ","[0, 4, 0, 1, 3, 6, 2, 5]","Sredni poziom energii zyjacych: ","57,70","Srednia dlugosc zycia martwych: ","28,07"
"Dzien symulacji: ","248","Liczba roslin: ","332","Liczba zwierzat: ","67","Liczba wolnych pol : ","508","Najpopularniejszy genotyp: ","[0, 4, 0, 1, 3, 6, 2, 5]","Sredni poziom energii zyjacych: ","57,45","Srednia dlugosc zycia martwych: ","28,07"
"Dzien symulacji: ","249","Liczba roslin: ","330","Liczba zwierzat: ","67","Liczba wolnych pol : ","509","Najpopularniejszy genotyp: ","[0, 4, 0, 1, 3, 6, 2, 5]","Sredni poziom energii zyjacych: ","57,79","Srednia dlugosc zycia martwych: ","28,07"
"Dzien symulacji: ","250","Liczba roslin: ","330","Liczba zwierzat: ","66","Liczba wolnych pol : ","511","Najpopularniejszy genotyp: ","[0, 4, 0, 1, 3, 6, 2, 5]","Sredni poziom energii zyjacych: ","58,73","Srednia dlugosc zycia martwych: ","28,00"
"Dzien symulacji: ","251","Liczba roslin: ","333","Liczba zwierzat: ","66","Liczba wolnych pol : ","507","Najpopularniejszy genotyp: ","[0, 4, 0, 1, 3, 6, 2, 5]","Sredni poziom energii zyjacych: ","58,33","Srednia dlugosc zycia martwych: ","27,97"
"Dzien symulacji: ","252","Liczba roslin: ","333","Liczba zwierzat: ","66","Liczba wolnych pol : ","507","Najpopularniejszy genotyp: ","[0, 4, 0, 1, 3, 6, 2, 5]","Sredni poziom energii zyjacych: ","58,39","Srednia dlugosc zycia martwych: ","28,40"
"Dzien symulacji: ","253","Liczba roslin: ","332","Liczba zwierzat: ","64","Liczba wolnych pol : ","507","Najpopularniejszy genotyp: ","[0, 4, 0, 1, 3, 6, 2, 5]","Sredni poziom energii zyjacych: ","60,47","Srednia dlugosc zycia martwych: ","28,45"
"Dzien symulacji: ","254","Liczba roslin: ","330","Liczba zwierzat: ","65","Liczba wolnych pol : ","510","Najpopularniejszy genotyp: ","[0, 4, 0, 1, 3, 6, 2, 5]","Sredni poziom energii zyjacych: ","59,77","Srednia dlugosc zycia martwych: ","28,38"
"Dzien symulacji: ","255","Liczba roslin: ","325","Liczba zwierzat: ","64","Liczba wolnych pol : ","512","Najpopularniejszy genotyp: ","[0, 4, 0, 1, 3, 6, 2, 5]","Sredni poziom energii zyjacych: ","61,58","Srednia dlugosc zycia martwych: ","28,34"
"Dzien symulacji: ","256","Liczba roslin: ","324","Liczba zwierzat: ","65","Liczba wolnych pol : ","515","Najpopularniejszy genotyp: ","[0, 4, 0, 1, 3, 6, 2, 5]","Sredni poziom energii zyjacych: ","60,86","Srednia dlugosc zycia martwych: ","28,34"
"Dzien symulacji: ","257","Liczba roslin: ","321","Liczba zwierzat: ","65","Liczba wolnych pol : ","520","Najpopularniejszy genotyp: ","[0, 4, 0, 1, 3, 6, 2, 5]","Sredni poziom energii zyjacych: ","61,40","Srednia dlugosc zycia martwych: ","28,27"
"Dzien symulacji: ","258","Liczba roslin: ","321","Liczba zwierzat: ","63","Liczba wolnych pol : ","520","Najpopularniejszy genotyp: ","[0, 2, 6, 3, 3, 5, 7, 2]","Sredni poziom energii zyjacych: ","63,30","Srednia dlugosc zycia martwych: ","28,78"
"Dzien symulacji: ","259","Liczba roslin: ","323","Liczba zwierzat: ","63","Liczba wolnych pol : ","516","Najpopularniejszy genotyp: ","[0, 2, 6, 3, 3, 5, 7, 2]","Sredni poziom energii zyjacych: ","63,10","Srednia dlugosc zycia martwych: ","28,78"
"Dzien symulacji: ","260","Liczba roslin: ","319","Liczba zwierzat: ","63","Liczba wolnych pol : ","524","Najpopularniejszy genotyp: ","[0, 2, 6, 3, 3, 5, 7, 2]","Sredni poziom energii zyjacych: ","63,84","Srednia dlugosc zycia martwych: ","28,91"
"Dzien symulacji: ","261","Liczba roslin: ","317","Liczba zwierzat: ","62","Liczba wolnych pol : ","525","Najpopularniejszy genotyp: ","[0, 2, 6, 3, 3, 5, 7, 2]","Sredni poziom energii zyjacych: ","65,32","Srednia dlugosc zycia martwych: ","29,24"
"Dzien symulacji: ","262","Liczba roslin: ","317","Liczba zwierzat: ","62","Liczba wolnych pol : ","525","Najpopularniejszy genotyp: ","[0, 2, 6, 3, 3, 5, 7, 2]","Sredni poziom energii zyjacych: ","65,13","Srednia dlugosc zycia martwych: ","29,20"
"Dzien symulacji: ","263","Liczba roslin: ","315","Liczba zwierzat: ","62","Liczba wolnych pol : ","525","Najpopularniejszy genotyp: ","[0, 2, 6, 3, 3, 5, 7, 2]","Sredni poziom energii zyjacych: ","65,58","Srednia dlugosc zycia martwych: ","29,20"
"Dzien symulacji: ","264","Liczba roslin: ","317","Liczba zwierzat: ","66","Liczba wolnych pol : ","529","Najpopularniejszy genotyp: ","[0, 2, 6, 3, 3, 5, 7, 2]","Sredni poziom energii zyjacych: ","61,21","Srednia dlugosc zycia martwych: ","29,24"
"Dzien symulacji: ","265","Liczba roslin: ","319","Liczba zwierzat: ","68","Liczba wolnych pol : ","526","Najpopularniejszy genotyp: ","[0, 2, 6, 3, 3, 5, 7, 2]","Sredni poziom energii zyjacych: ","59,15","Srednia dlugosc zycia martwych: ","29,21"
"Dzien symulacji: ","266","Liczba roslin: ","318","Liczba zwierzat: ","70","Liczba wolnych pol : ","520","Najpopularniejszy genotyp: ","[0, 2, 6, 3, 3, 5, 7, 2]","Sredni poziom energii zyjacych: ","57,60","Srednia dlugosc zycia martwych: ","29,21"
"Dzien symulacji: ","267","Liczba roslin: ","319","Liczba zwierzat: ","73","Liczba wolnych pol : ","519","Najpopularniejszy genotyp: ","[0, 2, 6, 3, 3, 5, 7, 2]","Sredni poziom energii zyjacych: ","55,05","Srednia dlugosc zycia martwych: ","29,13"
"Dzien symulacji: ","268","Liczba roslin: ","323","Liczba zwierzat: ","70","Liczba wolnych pol : ","510","Najpopularniejszy genotyp: ","[0, 2, 6, 3, 3, 5, 7, 2]","Sredni poziom energii zyjacych: ","56,70","Srednia dlugosc zycia martwych: ","29,30"
"Dzien symulacji: ","269","Liczba roslin: ","322","Liczba zwierzat: ","67","Liczba wolnych pol : ","515","Najpopularniejszy genotyp: ","[0, 2, 6, 3, 3, 5, 7, 2]","Sredni poziom energii zyjacych: ","59,43","Srednia dlugosc zycia martwych: ","29,39"
"Dzien symulacji: ","270","Liczba roslin: ","324","Liczba zwierzat: ","67","Liczba wolnych pol : ","515","Najpopularniejszy genotyp: ","[0, 2, 6, 3, 3, 5, 7, 2]","Sredni poziom energii zyjacych: ","59,03","Srednia dlugosc zycia martwych: ","29,31"
"Dzien symulacji: ","271","Liczba roslin: ","320","Liczba zwierzat: ","66","Liczba wolnych pol : ","519","Najpopularniejszy genotyp: ","[0, 2, 6, 3, 3, 5, 7, 2]","Sredni poziom energii zyjacych: ","60,44","Srednia dlugosc zycia martwych: ","29,55"
"Dzien symulacji: ","272","Liczba roslin: ","321","Liczba zwierzat: ","68","Liczba wolnych pol : ","518","Najpopularniejszy genotyp: ","[3, 6, 7, 2, 3, 4, 6, 4]","Sredni poziom energii zyjacych: ","58,54","Srednia dlugosc zycia martwych: ","29,51"
"Dzien symulacji: ","273","Liczba roslin: ","320","Liczba zwierzat: ","71","Liczba wolnych pol : ","521","Najpopularniejszy genotyp: ","[3, 6, 7, 2, 3, 4, 6, 4]","Sredni poziom energii zyjacych: ","56,20","Srednia dlugosc zycia martwych: ","29,51"
"Dzien symulacji: ","274","Liczba roslin: ","315","Liczba zwierzat: ","69","Liczba wolnych pol : ","521","Najpopularniejszy genotyp: ","[3, 6, 7, 2, 3, 4, 6, 4]","Sredni poziom energii zyjacych: ","58,57","Srednia dlugosc zycia martwych: ","29,40"
"Dzien symulacji: ","275","Liczba roslin: ","312","Liczba zwierzat: ","66","Liczba wolnych pol : ","525","Najpopularniejszy genotyp: ","[3, 6, 7, 2, 3, 4, 6, 4]","Sredni poziom energii zyjacych: ","61,74","Srednia dlugosc zycia martwych: ","29,48"
"Dzien symulacji: ","276","Liczba roslin: ","312","Liczba zwierzat: ","63","Liczba wolnych pol : ","527","Najpopularniejszy genotyp: ","[3, 6, 7, 2, 3, 4, 6, 4]","Sredni poziom energii zyjacych: ","64,79","Srednia dlugosc zycia martwych: ","29,30"
"Dzien symulacji: ","277","Liczba roslin: ","314","Liczba zwierzat: ","62","Liczba wolnych pol : ","526","Najpopularniejszy genotyp: ","[3, 6, 7, 2, 3, 4, 6, 4]","Sredni poziom energii zyjacych: ","65,48","Srednia dlugosc zycia martwych: ","29,90"
"Dzien symulacji: ","278","Liczba roslin: ","310","Liczba zwierzat: ","65","Liczba wolnych pol : ","533","Najpopularniejszy genotyp: ","[3, 6, 7, 2, 3, 4, 6, 4]","Sredni poziom energii zyjacych: ","63,15","Srednia dlugosc zycia martwych: ","29,90"
"Dzien symulacji: ","279","Liczba roslin: ","310","Liczba zwierzat: ","67","Liczba wolnych pol : ","530","Najpopularniejszy genotyp: ","[3, 6, 7, 2, 3, 4, 6, 4]","Sredni poziom energii zyjacych: ","61,31","Srednia dlugosc zycia martwych: ","29,90"
"Dzien symulacji: ","280","Liczba roslin: ","307","Liczba zwierzat: ","69","Liczba wolnych pol : ","528","Najpopularniejszy genotyp: ","[3, 6, 7, 2, 3, 4, 6, 4]","Sredni poziom energii zyjacych: ","59,84","Srednia dlugosc zycia martwych: ","29,90"
"Dzien symulacji: ","281","Liczba roslin: ","309","Liczba zwierzat: ","70","Liczba wolnych pol : ","529","Najpopularniejszy genotyp: ","[3, 6, 7, 2, 3, 4, 6, 4]","Sredni poziom energii zyjacych: ","58,56","Srednia dlugosc zycia martwych: ","30,08"
"Dzien symulacji: ","282","Liczba roslin: ","306","Liczba zwierzat: ","68","Liczba wolnych pol : ","528","Najpopularniejszy genotyp: ","[0, 2, 6, 3, 3, 5, 7, 2]","Sredni poziom energii zyjacych: ","60,75","Srednia dlugosc zycia martwych: ","29,93"
"Dzien symulacji: ","283","Liczba roslin: ","303","Liczba zwierzat: ","68","Liczba wolnych pol : ","534","Najpopularniejszy genotyp: ","[0, 2, 6, 3, 3, 5, 7, 2]","Sredni poziom energii zyjacych: ","61,07","Srednia dlugosc zycia martwych: ","30,12"
"Dzien symulacji: ","284","Liczba roslin: ","302","Liczba zwierzat: ","68","Liczba wolnych pol : ","537","Najpopularniejszy genotyp: ","[0, 2, 6, 3, 3, 5, 7, 2]","Sredni poziom energii zyjacych: ","61,10","Srednia dlugosc zycia martwych: ","30,15"
"Dzien symulacji: ","285","Liczba roslin: ","298","Liczba zwierzat: ","67","Liczba wolnych pol : ","536","Najpopularniejszy genotyp: ","[0, 2, 6, 3, 3, 5, 7, 2]","Sredni poziom energii zyjacych: ","62,66","Srednia dlugosc zycia martwych: ","30,12"
"Dzien symulacji: ","286","Liczba roslin: ","294","Liczba zwierzat: ","68","Liczba wolnych pol : ","542","Najpopularniejszy genotyp: ","[0, 2, 6, 3, 3, 5, 7, 2]","Sredni poziom energii zyjacych: ","62,35","Srednia dlugosc zycia martwych: ","30,12"
"Dzien symulacji: ","287","Liczba roslin: ","291","Liczba zwierzat: ","71","Liczba wolnych pol : ","548","Najpopularniejszy genotyp: ","[0, 2, 6, 3, 3, 5, 7, 2]","Sredni poziom energii zyjacych: ","60,13","Srednia dlugosc zycia martwych: ","30,08"
"Dzien symulacji: ","288","Liczba roslin: ","283","Liczba zwierzat: ","73","Liczba wolnych pol : ","551","Najpopularniejszy genotyp: ","[0, 2, 6, 3, 3, 5, 7, 2]","Sredni poziom energii zyjacych: ","59,53","Srednia dlugosc zycia martwych: ","30,08"
"Dzien symulacji: ","289","Liczba roslin: ","277","Liczba zwierzat: ","76","Liczba wolnych pol : ","559","Najpopularniejszy genotyp: ","[0, 2, 6, 3, 3, 5, 7, 2]","Sredni poziom energii zyjacych: ","57,89","Srednia dlugosc zycia martwych: ","30,08"
"Dzien symulacji: ","290","Liczba roslin: ","275","Liczba zwierzat: ","79","Liczba wolnych pol : ","557","Najpopularniejszy genotyp: ","[0, 2, 6, 3, 3, 5, 7, 2]","Sredni poziom energii zyjacych: ","55,84","Srednia dlugosc zycia martwych: ","30,08"
"Dzien symulacji: ","291","Liczba roslin: ","272","Liczba zwierzat: ","81","Liczba wolnych pol : ","561","Najpopularniejszy genotyp: ","[0, 2, 6, 3, 3, 5, 7, 2]","Sredni poziom energii zyjacych: ","54,44","Srednia dlugosc zycia martwych: ","30,04"
"Dzien symulacji: ","292","Liczba roslin: ","266","Liczba zwierzat: ","83","Liczba wolnych pol : ","563","Najpopularniejszy genotyp: ","[0, 2, 6, 3, 3, 5, 7, 2]","Sredni poziom energii zyjacych: ","53,70","Srednia dlugosc zycia martwych: ","30,01"
"Dzien symulacji: ","293","Liczba roslin: ","262","Liczba zwierzat: ","85","Liczba wolnych pol : ","565","Najpopularniejszy genotyp: ","[7, 0, 4, 7, 0, 3, 2, 2]","Sredni poziom energii zyjacych: ","52,73","Srednia dlugosc zycia martwych: ","29,94"
"Dzien symulacji: ","294","Liczba roslin: ","259","Liczba zwierzat: ","89","Liczba wolnych pol : ","565","Najpopularniejszy genotyp: ","[5, 2, 0, 3, 2, 0, 4, 5]","Sredni poziom energii zyjacych: ","50,48","Srednia dlugosc zycia martwych: ","29,94"
"Dzien symulacji: ","295","Liczba roslin: ","253","Liczba zwierzat: ","92","Liczba wolnych pol : ","567","Najpopularniejszy genotyp: ","[5, 2, 0, 3, 2, 0, 4, 5]","Sredni poziom energii zyjacych: ","49,14","Srednia dlugosc zycia martwych: ","29,94"
"Dzien symulacji: ","296","Liczba roslin: ","250","Liczba zwierzat: ","96","Liczba wolnych pol : ","570","Najpopularniejszy genotyp: ","[5, 2, 0, 3, 2, 0, 4, 5]","Sredni poziom energii zyjacych: ","47,14","Srednia dlugosc zycia martwych: ","29,94"
"Dzien symulacji: ","297","Liczba roslin: ","246","Liczba zwierzat: ","93","Liczba wolnych pol : ","571","Najpopularniejszy genotyp: ","[5, 2, 0, 3, 2, 0, 4, 5]","Sredni poziom energii zyjacych: ","48,84","Srednia dlugosc zycia martwych: ","29,76"
"Dzien symulacji: ","298","Liczba roslin: ","240","Liczba zwierzat: ","92","Liczba wolnych pol : ","580","Najpopularniejszy genotyp: ","[5, 2, 0, 3, 2, 0, 4, 5]","Sredni poziom energii zyjacych: ","49,46","Srednia dlugosc zycia martwych: ","29,56"
"Dzien symulacji: ","299","Liczba roslin: ","238","Liczba zwierzat: ","91","Liczba wolnych pol : ","581","Najpopularniejszy genotyp: ","[5, 2, 0, 3, 2, 0, 4, 5]","Sredni poziom energii zyjacych: ","49,99","Srednia dlugosc zycia martwych: ","29,46"
"Dzien symulacji: ","300","Liczba roslin: ","239","Liczba zwierzat: ","90","Liczba wolnych pol : ","581","Najpopularniejszy genotyp: ","[5, 2, 0, 3, 2, 0, 4, 5]","Sredni poziom energii zyjacych: ","50,21","Srednia dlugosc zycia martwych: ","29,33"
"Dzien symulacji: ","301","Liczba roslin: ","237","Liczba zwierzat: ","91","Liczba wolnych pol : ","584","Najpopularniejszy genotyp: ","[5, 2, 0, 3, 2, 0, 4, 5]","Sredni poziom energii zyjacych: ","49,54","Srednia dlugosc zycia martwych: ","30,14"
"Dzien symulacji: ","302","Liczba roslin: ","231","Liczba zwierzat: ","91","Liczba wolnych pol : ","584","Najpopularniejszy genotyp: ","[5, 2, 0, 3, 2, 0, 4, 5]","Sredni poziom energii zyjacych: ","49,75","Srednia dlugosc zycia martwych: ","30,17"
"Dzien symulacji: ","303","Liczba roslin: ","228","Liczba zwierzat: ","88","Liczba wolnych pol : ","589","Najpopularniejszy genotyp: ","[5, 2, 0, 3, 2, 0, 4, 5]","Sredni poziom energii zyjacych: ","51,49","Srednia dlugosc zycia martwych: ","30,05"
"Dzien symulacji: ","304","Liczba roslin: ","225","Liczba zwierzat: ","86","Liczba wolnych pol : ","598","Najpopularniejszy genotyp: ","[5, 2, 0, 3, 2, 0, 4, 5]","Sredni poziom energii zyjacych: ","52,85","Srednia dlugosc zycia martwych: ","30,47"
"Dzien symulacji: ","305","Liczba roslin: ","216","Liczba zwierzat: ","85","Liczba wolnych pol : ","604","Najpopularniejszy genotyp: ","[5, 2, 0, 3, 2, 0, 4, 5]","Sredni poziom energii zyjacych: ","54,35","Srednia dlugosc zycia martwych: ","30,33"
"Dzien symulacji: ","306","Liczba roslin: ","215","Liczba zwierzat: ","82","Liczba wolnych pol : ","607","Najpopularniejszy genotyp: ","[5, 2, 0, 3, 2, 0, 4, 5]","Sredni poziom energii zyjacych: ","56,20","Srednia dlugosc zycia martwych: ","30,59"
